[Wed Mar 06 19:53:10.425961 2024] [php:notice] [pid 24] [client 172.21.0.1:56376] Sou um log, referer: http://127.0.0.1:5501/
[Wed Mar 06 19:53:10.425971 2024] [php:notice] [pid 21] [client 172.21.0.1:56388] Sou um log, referer: http://127.0.0.1:5501/
[Wed Mar 06 19:54:26.735393 2024] [php:notice] [pid 18] [client 172.21.0.1:46096] Sou um log, referer: http://127.0.0.1:5501/
[Wed Mar 06 19:54:26.735474 2024] [php:notice] [pid 19] [client 172.21.0.1:46098] Sou um log, referer: http://127.0.0.1:5501/
[Wed Mar 06 19:54:27.596913 2024] [php:notice] [pid 18] [client 172.21.0.1:46096] Sou um log, referer: http://127.0.0.1:5501/
[Wed Mar 06 19:54:27.596915 2024] [php:notice] [pid 19] [client 172.21.0.1:46098] Sou um log, referer: http://127.0.0.1:5501/
[Wed Mar 06 19:54:27.815719 2024] [php:notice] [pid 19] [client 172.21.0.1:46098] Sou um log, referer: http://127.0.0.1:5501/
[Wed Mar 06 19:54:27.815719 2024] [php:notice] [pid 18] [client 172.21.0.1:46096] Sou um log, referer: http://127.0.0.1:5501/
[Wed Mar 06 19:54:27.994243 2024] [php:notice] [pid 19] [client 172.21.0.1:46098] Sou um log, referer: http://127.0.0.1:5501/
[Wed Mar 06 19:54:27.994707 2024] [php:notice] [pid 18] [client 172.21.0.1:46096] Sou um log, referer: http://127.0.0.1:5501/
[Wed Mar 06 19:54:28.178258 2024] [php:notice] [pid 18] [client 172.21.0.1:46096] Sou um log, referer: http://127.0.0.1:5501/
[Wed Mar 06 19:54:28.178259 2024] [php:notice] [pid 19] [client 172.21.0.1:46098] Sou um log, referer: http://127.0.0.1:5501/
[Wed Mar 06 19:54:28.362533 2024] [php:notice] [pid 18] [client 172.21.0.1:46096] Sou um log, referer: http://127.0.0.1:5501/
[Wed Mar 06 19:54:28.362820 2024] [php:notice] [pid 19] [client 172.21.0.1:46098] Sou um log, referer: http://127.0.0.1:5501/
[Wed Mar 06 19:54:28.519757 2024] [php:notice] [pid 18] [client 172.21.0.1:46096] Sou um log, referer: http://127.0.0.1:5501/
[Wed Mar 06 19:54:28.519996 2024] [php:notice] [pid 19] [client 172.21.0.1:46098] Sou um log, referer: http://127.0.0.1:5501/
[Wed Mar 06 19:54:28.683158 2024] [php:notice] [pid 19] [client 172.21.0.1:46098] Sou um log, referer: http://127.0.0.1:5501/
[Wed Mar 06 19:54:28.683162 2024] [php:notice] [pid 18] [client 172.21.0.1:46096] Sou um log, referer: http://127.0.0.1:5501/
[Wed Mar 06 19:54:30.541761 2024] [php:notice] [pid 18] [client 172.21.0.1:46096] Sou um log, referer: http://127.0.0.1:5501/
[Wed Mar 06 19:54:31.005982 2024] [php:notice] [pid 18] [client 172.21.0.1:46096] Sou um log, referer: http://127.0.0.1:5501/
[Wed Mar 06 19:54:31.007232 2024] [php:notice] [pid 19] [client 172.21.0.1:46098] Sou um log, referer: http://127.0.0.1:5501/
[Wed Mar 06 19:54:32.023626 2024] [php:notice] [pid 18] [client 172.21.0.1:46096] Sou um log, referer: http://127.0.0.1:5501/
[Wed Mar 06 19:54:32.337791 2024] [php:notice] [pid 18] [client 172.21.0.1:46096] Sou um log, referer: http://127.0.0.1:5501/
[Wed Mar 06 19:54:45.650569 2024] [php:notice] [pid 22] [client 172.21.0.1:55384] Sou um log, referer: http://127.0.0.1:5501/
[Wed Mar 06 19:54:46.461119 2024] [php:notice] [pid 22] [client 172.21.0.1:55384] Sou um log, referer: http://127.0.0.1:5501/
[Wed Mar 06 19:54:46.464627 2024] [php:notice] [pid 23] [client 172.21.0.1:55394] Sou um log, referer: http://127.0.0.1:5501/
